estrategia,tn,fp,fn,tp,custo_total
lr_threshold_0.35,3042,2132,169,1700,2977
lr_threshold_0.30,2825,2349,142,1727,3059
lr_threshold_0.40,3324,1850,244,1625,3070
lr_threshold_0.45,3543,1631,306,1563,3161
lr_baseline,3750,1424,370,1499,3274
gb_threshold_0.30,3988,1186,467,1402,3521
gb_threshold_0.35,4211,963,568,1301,3803
rf_threshold_0.30,3920,1254,510,1359,3804
gb_smote,4340,834,649,1220,4079
rf_threshold_0.35,4124,1050,614,1255,4120
gb_threshold_0.40,4383,791,670,1199,4141
rf_threshold_0.40,4305,869,715,1154,4444
gb_threshold_0.45,4539,635,762,1107,4445
rf_threshold_0.45,4476,698,835,1034,4873
rf_smote,4425,749,827,1042,4884
gb_baseline,4670,504,883,986,4919
rf_baseline,4624,550,955,914,5325
rf_class_weight,4654,520,978,891,5410
